house_id,purchase_price,%_change_between_offer_and_purchase,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
148218,4350000,-7,3.35,1.13,4.34
148183,1200000,-4,3.35,1.13,4.34
148129,2710000,0,3.35,1.13,4.34
148195,1585000,-2,3.35,1.13,4.34
148006,3400000,-3,3.35,1.13,4.34
148043,4800000,-4,3.35,1.13,4.34
148145,850000,0,3.35,1.13,4.34
148019,2050000,-2,3.35,1.13,4.34
358213,1930000,-6,3.35,1.13,4.34
358220,580000,-3,3.35,1.13,4.34
358136,7050000,-9,3.35,1.13,4.34
358116,1495000,0,3.35,1.13,4.34
358073,400000,-19,3.35,1.13,4.34
148285,2400000,0,3.35,1.13,4.34
358209,1150000,0,3.35,1.13,4.34
358205,1020000,0,3.35,1.13,4.34
148258,20000000,0,3.35,1.13,4.34
148270,1500000,-6,3.35,1.13,4.34
358175,1700000,14,3.35,1.13,4.34
358192,1300000,-11,3.35,1.13,4.34
148282,1995000,0,3.35,1.13,4.34
358100,4750000,0,3.35,1.13,4.34
148257,2700000,0,3.35,1.13,4.34
148247,1741500,3,3.35,1.13,4.34
358102,1246000,0,3.35,1.13,4.34
358298,2200000,-2,3.35,1.13,4.34
358244,1750000,0,3.35,1.13,4.34
358430,270000,0,3.35,1.13,4.34
358365,3500000,0,3.35,1.13,4.34
358288,7800000,-1,3.35,1.13,4.34
358310,750000,0,3.35,1.13,4.34
358251,2600000,0,3.35,1.13,4.34
358340,1100000,0,3.35,1.13,4.34
358450,3375000,-4,3.35,1.13,4.34
358353,2650000,0,3.35,1.13,4.34
358447,730000,0,3.35,1.13,4.34
358258,2500000,-7,3.35,1.13,4.34
